urn,school,year,published,check,detail,source
100190,Thomas Tallis School,2022,1875.01m,match,title names 2022,https://www.royalgreenwich.gov.uk/sites/default/files/2025-04/Secondary_Stats_for_Website_2022.xlsx
100190,Thomas Tallis School,2023,1614.7m,match,title names 2023,https://www.royalgreenwich.gov.uk/sites/default/files/2025-04/Secondary_Stats_for_Website_2023.xlsx
100190,Thomas Tallis School,2024,1728.12m,match,title names 2024,https://www.royalgreenwich.gov.uk/sites/default/files/2025-04/Secondary_Stats_for_Website_2024__1_.xlsx
100190,Thomas Tallis School,2025,1867.17m,match,title names 2025,https://www.royalgreenwich.gov.uk/sites/default/files/2026-08/Secondary%20school%20data%20and%20statistics%202025.xlsx
137531,Alexandra Park School,2015,0.5206 miles,match,column 2015 of 2009-2023 table,https://web.archive.org/web/20230317142555id_/http://www.haringey.gov.uk/sites/haringeygovuk/files/distance_of_last_child_offered_miles.pdf
137531,Alexandra Park School,2016,0.7324 miles,match,column 2016 of 2009-2023 table,https://web.archive.org/web/20230317142555id_/http://www.haringey.gov.uk/sites/haringeygovuk/files/distance_of_last_child_offered_miles.pdf
137531,Alexandra Park School,2017,0.5039 miles,match,column 2017 of 2009-2023 table,https://web.archive.org/web/20230317142555id_/http://www.haringey.gov.uk/sites/haringeygovuk/files/distance_of_last_child_offered_miles.pdf
137531,Alexandra Park School,2018,0.4852 miles,match,column 2018 of 2009-2023 table,https://web.archive.org/web/20230317142555id_/http://www.haringey.gov.uk/sites/haringeygovuk/files/distance_of_last_child_offered_miles.pdf
137531,Alexandra Park School,2019,0.4300 miles,match,column 2019 of 2009-2023 table,https://web.archive.org/web/20230317142555id_/http://www.haringey.gov.uk/sites/haringeygovuk/files/distance_of_last_child_offered_miles.pdf
137531,Alexandra Park School,2020,0.4257 miles,match,column 2020 of 2009-2023 table,https://web.archive.org/web/20230317142555id_/http://www.haringey.gov.uk/sites/haringeygovuk/files/distance_of_last_child_offered_miles.pdf
137531,Alexandra Park School,2021,0.4464 miles,match,column 2021 of 2009-2023 table,https://web.archive.org/web/20230317142555id_/http://www.haringey.gov.uk/sites/haringeygovuk/files/distance_of_last_child_offered_miles.pdf
137531,Alexandra Park School,2022,0.4580 miles,match,"column 2022 of [2026, 2025, 2024, 2023, 2022]",https://haringey.gov.uk/schools-learning/schools/school-admissions/how-school-place-offers-were-made/cutoff-distance-school-last-child-offered-place/secondary-schools-distance-school-last-child-offered-place-national-offer-day
137531,Alexandra Park School,2023,0.5150 miles,match,"column 2023 of [2026, 2025, 2024, 2023, 2022]",https://haringey.gov.uk/schools-learning/schools/school-admissions/how-school-place-offers-were-made/cutoff-distance-school-last-child-offered-place/secondary-schools-distance-school-last-child-offered-place-national-offer-day
137531,Alexandra Park School,2024,0.5267 miles,match,"column 2024 of [2026, 2025, 2024, 2023, 2022]",https://haringey.gov.uk/schools-learning/schools/school-admissions/how-school-place-offers-were-made/cutoff-distance-school-last-child-offered-place/secondary-schools-distance-school-last-child-offered-place-national-offer-day
137531,Alexandra Park School,2025,0.4991 miles,match,"column 2025 of [2026, 2025, 2024, 2023, 2022]",https://haringey.gov.uk/schools-learning/schools/school-admissions/how-school-place-offers-were-made/cutoff-distance-school-last-child-offered-place/secondary-schools-distance-school-last-child-offered-place-national-offer-day
102239,Whitmore High School,2016,0.93 miles,"value on row, year not in title",,https://web.archive.org/web/20240718182606id_/https://www.harrow.gov.uk/downloads/file/26414/secondary-school-allocations-2016-17.pdf
102239,Whitmore High School,2017,1.056 miles,match,title names 2017,https://web.archive.org/web/20240718135020id_/https://www.harrow.gov.uk/downloads/file/26413/secondary-school-allocations-2017-18.pdf
102239,Whitmore High School,2018,0.791 miles,match,title names 2018,https://web.archive.org/web/20240718185339id_/https://www.harrow.gov.uk/downloads/file/26412/secondary-school-allocations-2018-19.pdf
102239,Whitmore High School,2019,0.652 miles,match,title names 2019,https://web.archive.org/web/20240718163023id_/https://www.harrow.gov.uk/downloads/file/26411/secondary-school-allocations-2019-20.pdf
102239,Whitmore High School,2020,0.66 miles,match,title names 2020,https://web.archive.org/web/20240718134416id_/https://www.harrow.gov.uk/downloads/file/27225/secondary-school-allocations-2020-21-corrected.pdf
102239,Whitmore High School,2021,0.792 miles,match,title names 2021,https://web.archive.org/web/20240718195334id_/https://www.harrow.gov.uk/downloads/file/28604/secondary-school-allocations-2021-22.pdf
102239,Whitmore High School,2022,0.621 miles,match,title names 2022,https://web.archive.org/web/20230325193317id_/https://www.harrow.gov.uk/downloads/file/29994/Secondary_school_place_allocations_2022_23.pdf
102239,Whitmore High School,2023,0.743 miles,match,title names 2023,https://www.harrow.gov.uk/downloads/file/31344/How_places_were_allocated_22_23__website_ns.pdf
102239,Whitmore High School,2024,0.717 miles,match,title names 2024,https://www.harrow.gov.uk/downloads/file/32426/How_places_were_allocated_2024_25_secondary.pdf
102239,Whitmore High School,2025,0.791 miles,match,title names 2025,https://www.harrow.gov.uk/downloads/file/32970/How_places_were_allocated_25_26__website_final.pdf
137197,Hall Mead School,2017,2.411 km,match,title names 2017,https://www.havering.gov.uk/downloads/file/1077/secondary-school-statistics-2017
137197,Hall Mead School,2018,2.627 km,value elsewhere only,,https://www.havering.gov.uk/downloads/file/1848/secondary-school-statistics-2018
137197,Hall Mead School,2019,2.792 km,match,title names 2019,https://www.havering.gov.uk/downloads/file/3038/secondary-school-statistics-2019
137197,Hall Mead School,2020,2.623 km,match,title names 2020,https://www.havering.gov.uk/downloads/file/3661/secondary-school-statistics-2020
137197,Hall Mead School,2021,3.071 km,match,title names 2021,https://www.havering.gov.uk/downloads/file/4556/secondary-school-statistics-2021
137197,Hall Mead School,2022,2.068 km,match,title names 2022,https://www.havering.gov.uk/downloads/file/5377/secondary-school-statistics-2022
137197,Hall Mead School,2023,2.300 km,match,title names 2023,https://www.havering.gov.uk/downloads/file/6066/secondary-school-statistics-2023
137197,Hall Mead School,2024,2.211 km,match,title names 2024,https://www.havering.gov.uk/downloads/file/6537/secondary-school-statistics-2024
