tau,se,ci_low,ci_high,p_value,df_inference,n_obs,n_inside,n_outside,n_clusters,bandwidth_m,cutoff_m,donut_m,poly,p_wild_bootstrap,median_price_outside,label,notes,pct,pounds
0.059078509243380276,0.03439245246119057,-0.01661876824255845,0.134775786729319,0.11382061235067979,11,15874,7861,8013,12,100.0,0.0,0.0,1,,475000.0,h=100,[],"(6.085852467094247, -1.6481438317401893, 14.428019278217278)","(28907.79921869767, -7828.6832007658995, 68533.09157153207)"
0.04523941660650304,0.03237698523132779,-0.026021847415874218,0.1165006806288803,0.18987781367580384,11,23583,11584,11999,12,150.0,0.0,0.0,1,,475000.0,h=150,[],"(4.627832633095796, -2.568619686262616, 12.355827519315461)","(21982.20500720503, -12200.943509747425, 58690.180716748444)"
0.03189499806100085,0.02804808196643579,-0.0298384141159145,0.09362841023791621,0.2796384957644484,11,31023,15051,15972,12,200.0,0.0,0.0,1,,475000.0,h=200,[],"(3.2409094656774564, -2.9397643482148705, 9.815160819714896)","(15394.319961967918, -13963.880654020637, 46622.01389364575)"
0.031003159612212842,0.025852720071683908,-0.02589829361334203,0.08790461283776771,0.25563634997207507,11,39164,18810,20354,12,250.0,0.0,0.0,1,,475000.0,h=250,[],"(3.1488762985866914, -2.5565809250368448, 9.188396534772988)","(14957.162418286784, -12143.759393925013, 43644.88354017169)"
0.02244353184647951,0.025965653753177536,-0.03470648673611637,0.07959355042907539,0.4058474597518289,11,47077,22434,24643,12,300.0,0.0,0.0,1,,477500.0,h=300,[],"(2.2697282706737307, -3.411112414754362, 8.28468555791829)","(10837.952492467064, -16288.06178045208, 39559.37353905984)"
0.018195301944553193,0.02532863763589266,-0.03755265361716502,0.0739432575062714,0.4875081906797353,11,54641,25939,28702,12,350.0,0.0,0.0,1,,478500.0,h=350,[],"(1.836184501803754, -3.685629661414608, 7.674570652628245)","(8786.142841130963, -17635.737929868897, 36722.82057282615)"
0.01820979108004637,0.02431874818851737,-0.035315412794674456,0.07173499495476719,0.4696890825042038,11,62196,29233,32963,12,400.0,0.0,0.0,1,,480000.0,h=400,[],"(1.8376600307686526, -3.469910001863869, 7.437059270768977)","(8820.768147689532, -16655.56800894657, 35697.884499691085)"
0.01824831101327617,0.023129476526926127,-0.032659323582975144,0.06915594560952748,0.44680490746683155,11,70108,32465,37643,12,450.0,0.0,0.0,1,,480000.0,h=450,[],"(1.8415828861868964, -3.2131766688311005, 7.160330794987526)","(8839.597853697103, -15423.248010389281, 34369.58781594012)"
0.0170325751654606,0.022537755770282053,-0.03257269082650405,0.06663784115742526,0.46568368686963313,11,78065,35276,42789,12,500.0,0.0,0.0,1,,480500.0,h=500,[],"(1.7178456542086336, -3.204791396321449, 6.89082934772669)","(8254.248368472485, -15399.022659324562, 33110.43501582675)"
0.01554249208189901,0.021845420325603188,-0.03253895387052802,0.06362393803432605,0.49160200722447045,11,85810,38438,47372,12,550.0,0.0,0.0,1,,483000.0,h=550,[],"(1.5663904815219307, -3.201525765544185, 6.569155733376856)","(7565.666025750926, -15463.369447578414, 31729.022192210217)"
0.013898097135509439,0.020952705557287333,-0.03221849685966752,0.06001469113068639,0.5207916731718543,11,92802,40867,51935,12,600.0,0.0,0.0,1,,480000.0,h=600,[],"(1.3995124665769663, -3.1705010450560596, 6.1852146239420795)","(6717.659839569438, -15218.405016269086, 29689.03019492198)"
0.012713231045410065,0.020680844136985944,-0.03280499999808446,0.05823146208890458,0.5512340456923528,11,100178,43781,56397,12,650.0,0.0,0.0,1,,482000.0,h=650,[],"(1.2794387723746952, -3.2272751993471784, 5.99603079459842)","(6166.894882846031, -15555.4664608534, 28900.868429964383)"
0.012005602894677754,0.020462254718844688,-0.033031516083336696,0.0570427218726922,0.5692374280904866,11,107322,46526,60796,12,700.0,0.0,0.0,1,,485000.0,h=700,[],"(1.2077959416404278, -3.2491932956338143, 5.87010391203777)","(5857.810316956075, -15758.587483823998, 28470.003973383184)"
0.01227067361123401,0.02027123491726568,-0.032346013618223056,0.05688736084069108,0.5572455777891725,11,114635,48905,65730,12,750.0,0.0,0.0,1,,485000.0,h=750,[],"(1.2346267205015473, -3.1828476416796305, 5.853657101065774)","(5987.939594432504, -15436.81106214621, 28390.236940169)"
