sample_sha256,test,spec,expectation,tau,se,ci_low,ci_high,p_value,p_wild_bootstrap,n_obs,n_clusters,bandwidth_m,note
e8c10644fe17685a,R1 placebo cut-off,"d = -500 m, outside data only",~0,0.01167808640627527,0.022259632491782925,-0.03731503437703918,0.06067120718958972,0.6102496444236077,,57717.0,12.0,400.0,
e8c10644fe17685a,R1 placebo cut-off,"d = -250 m, outside data only",~0,-0.0014667910214312273,0.020119903460635354,-0.04575039996059121,0.042816817917728754,0.9431924445512798,,56397.0,12.0,400.0,
e8c10644fe17685a,R1 placebo cut-off,"d = +250 m, inside data only",~0,-0.011766910723311588,0.025387757699046817,-0.06764498866669526,0.044111167220072085,0.6520509254770988,,43781.0,12.0,400.0,
e8c10644fe17685a,R1 placebo cut-off,"d = +500 m, inside data only",~0,0.05068747092415838,0.027160310080500735,-0.009091968506275055,0.11046691035459182,0.08887634787329639,,41044.0,12.0,400.0,
e8c10644fe17685a,R2 covariate balance,share flat,~0,-0.05208030808679739,0.021382537912569676,-0.09914295671727427,-0.005017659456320496,0.033077000088947955,,62196.0,12.0,400.0,
e8c10644fe17685a,R2 covariate balance,share detached,~0,0.009415981935912447,0.007797557219223948,-0.007746325788497129,0.026578289660322024,0.2525416832493441,,62196.0,12.0,400.0,
e8c10644fe17685a,R2 covariate balance,share leasehold,~0,-0.007903553609740299,0.006143116412485935,-0.021424461670283845,0.005617354450803247,0.22466152533134598,,62196.0,12.0,400.0,
e8c10644fe17685a,R2 covariate balance,share new build,~0,-0.010517969114297003,0.01347876584492407,-0.04018453271520779,0.019148594486613782,0.45165826790387775,,62196.0,12.0,400.0,
e8c10644fe17685a,R2 covariate balance,LSOA IMD 2019 rank (1 = most deprived),~0,684.5795347890635,396.40169179696767,-187.89470628783715,1557.053775865964,0.11210621846922306,,62196.0,12.0,400.0,
e8c10644fe17685a,R2 covariate balance,distance to nearest rail/Underground/DLR/tram station (m),~0,16.326105314152915,22.772240641274376,-33.79525839912981,66.44746902743563,0.48836089994771426,,62196.0,12.0,400.0,
e8c10644fe17685a,R3 density (McCrary),sales,no discontinuity,0.012948928996335596,0.017426923191517403,-0.021207840459038514,0.047105698451709706,0.45745649127159826,,114635.0,,400.0,tau is log(f_inside) - log(f_outside); a smooth outward rise is expected from circle geometry
e8c10644fe17685a,R3 density (McCrary),postcode units,no discontinuity,0.05507155698847832,0.05163702493245969,-0.04613701187914267,0.1562801258560993,0.28619181735900456,,12438.0,,400.0,tau is log(f_inside) - log(f_outside); a smooth outward rise is expected from circle geometry
e8c10644fe17685a,R4 donut,drop |d| < 25 m,stable,0.014741520222775474,0.02396666359861617,-0.03800875069447892,0.06749179114002987,0.5510113219171119,,58357.0,12.0,400.0,
e8c10644fe17685a,R4 donut,drop |d| < 50 m,stable,0.0009676173530848379,0.03263409997723462,-0.07085955240947185,0.07279478711564154,0.9768769141923727,,54200.0,12.0,400.0,
e8c10644fe17685a,R5 timing,"URN 102673: grade 2 -> 1 published 2017-12-12, before",premium moves with the grade,0.0011268142256284641,0.056092987283597635,-0.10893993370572697,0.1111935621569839,0.9839767182896264,,3770.0,1054.0,400.0,
e8c10644fe17685a,R5 timing,"URN 102673: grade 2 -> 1 published 2017-12-12, after",premium moves with the grade,0.0043301108599591055,0.047195792513461655,-0.08826046284408393,0.09692068456400213,0.9269129211764333,,9897.0,1267.0,400.0,
e8c10644fe17685a,R5 timing,"URN 102679: grade 2 -> 1 published 2017-06-19, before",premium moves with the grade,-0.00025910817288006885,0.06922815897905384,-0.13621136121279745,0.1356931448670373,0.9970148866067985,,1795.0,616.0,400.0,
e8c10644fe17685a,R5 timing,"URN 102679: grade 2 -> 1 published 2017-06-19, after",premium moves with the grade,-0.013160251871629142,0.05501816914624517,-0.12116039917792222,0.09483989543466394,0.8110142661564224,,5572.0,786.0,400.0,
e8c10644fe17685a,R5 timing,"URN 103103: grade 2 -> 1 published 2018-07-20, before",premium moves with the grade,0.01348666797809342,0.033916629230973994,-0.053131663809293156,0.08010499976548,0.6910447300864289,,2416.0,565.0,400.0,
e8c10644fe17685a,R5 timing,"URN 103103: grade 2 -> 1 published 2018-07-20, after",premium moves with the grade,-0.03693382710610117,0.04113487620820337,-0.11771363671608423,0.043845982503881886,0.36960099042269046,,5170.0,624.0,400.0,
e8c10644fe17685a,R5 timing,"URN 136711: grade 1 -> 2 published 2022-09-28, before",premium moves with the grade,0.006357867171394886,0.027424313464751767,-0.04753098218700578,0.06024671652979555,0.8167680215107576,,2411.0,473.0,400.0,
e8c10644fe17685a,R5 timing,"URN 136711: grade 1 -> 2 published 2022-09-28, after",premium moves with the grade,-0.051929378071081916,0.038646744257653146,-0.1279235167837433,0.024064760641579475,0.17986874433517078,,833.0,372.0,400.0,
e8c10644fe17685a,R5 timing,"URN 137060: grade 2 -> 1 published 2017-11-01, before",premium moves with the grade,0.1148714893633131,0.06102635969888208,-0.0049880958899896355,0.23473107461661583,0.0602921639626598,,1603.0,581.0,400.0,
