urn,name,la_name,type,phase,gender,status,admissions_policy,religious_character,easting,northing,lineage,lineage_open_date,grade_2020,grade_2020_published,grade_2020_urn,comparator_urns,comparator_names,comparator_dist_m,comparator_grades,comparator_median,first_fail,all_fails,research_candidate
101245,Robert Clack School,Barking and Dagenham,Community school,All-through,Mixed,Open,Non-selective,Does not apply,549400.0,187065.0,101245,1677-09-21,2.0,2013-11-06,101245,101247;145944;101243,All Saints Catholic School and Technology College;St Edward's Church of England Academy;Eastbrook School,185;1113;1418,2;4;3,3.0,,,True
141683,The Sydney Russell School,Barking and Dagenham,Academy converter,All-through,Mixed,Open,Non-selective,Does not apply,547963.0,185474.0,141683 < 101246,1677-09-21,1.0,2013-06-10,101246,133561;140962;102858,Jo Richardson Community School;Goresbrook School;Mayfield School,1768;1797;1934,2;2;2,2.0,,,True
136308,Ashmole Academy,Barnet,Academy converter,Secondary,Mixed,Open,Non-selective,None,529324.0,194021.0,136308 < 101363,1677-09-21,1.0,2007-02-20,101363,139410;102056;142727,St Andrew the Apostle Greek Orthodox School;Laurel Park School;Southgate School,1492;1745;1959,2;2;2,2.0,,,True
137645,Hendon School,Barnet,Academy converter,Secondary,Mixed,Open,Non-selective,None,523568.0,188931.0,137645 < 101357,1677-09-21,1.0,2011-12-08,137645,103119;137539;137361,St Mary's and St John's CofE School;Hasmonean High School for Boys;Clarion,856;1223;1345,2;1;2,2.0,,,True
139594,The Archer Academy,Barnet,Free schools,Secondary,Mixed,Open,Non-selective,None,526880.0,189661.0,139594,2013-09-03,1.0,2019-06-18,139594,143082;137388;102156,Bishop Douglass School Finchley;Christ's College Finchley;Fortismere School,660;1211;1313,2;2;1,2.0,,,True
136418,The Compton School,Barnet,Academy converter,Secondary,Mixed,Open,Non-selective,Does not apply,527295.0,191678.0,136418 < 101352,1677-09-21,1.0,2018-02-26,136418,135507;101345;139410,Wren Academy Finchley;Friern Barnet School;St Andrew the Apostle Greek Orthodox School,491;916;1873,1;2;2,2.0,,,True
137965,Blackfen School for Girls,Bexley,Academy converter,Secondary,Girls,Open,Non-selective,Does not apply,546868.0,174297.0,137965 < 101465,1677-09-21,2.0,2011-12-15,101465,137368;135677;136720,Hurstmere School;Harris Academy Falconwood;Welling School,1146;1946;2158,3;2;3,3.0,,,True
135600,Ark Academy,Brent,Academy sponsor led,All-through,Mixed,Open,Non-selective,Does not apply,519303.0,186588.0,135600,2008-09-30,1.0,2011-02-12,135600,140862;139319;141019,Michaela Community School;Preston Manor School;Ark Elvin Academy,325;615;1649,1;2;2,2.0,,,True
136656,Claremont High School,Brent,Academy converter,Secondary,Mixed,Open,Non-selective,None,518305.0,188663.0,136656 < 101557,1677-09-21,1.0,2015-06-08,136656,142560;133724;137685,St Gregory's Catholic Science College;JFS;Kingsbury High School,759;963;1450,1;2;2,2.0,,,True
140862,Michaela Community School,Brent,Free schools,Secondary,Mixed,Open,Non-selective,None,519395.0,186276.0,140862,2014-09-01,1.0,2017-06-22,140862,135600;139319;141019,Ark Academy;Preston Manor School;Ark Elvin Academy,325;789;1424,1;2;2,2.0,,,True
138457,Wembley High Technology College,Brent,Academy converter,Secondary,Mixed,Open,Non-selective,None,517203.0,186265.0,138457 < 101550,1677-09-21,1.0,2008-10-15,101550,139319;141019;135600,Preston Manor School;Ark Elvin Academy;Ark Academy,1530;1807;2125,2;2;1,2.0,,,True
136709,Bullers Wood School,Bromley,Academy converter,Secondary,Girls,Open,Non-selective,None,542533.0,169755.0,136709 < 101666,1991-01-01,1.0,2011-06-24,136709,136464;136540;136467,Orion Coopers;The Ravensbourne School;Chislehurst School for Girls,1788;2519;3063,2;2;2,2.0,,,True
136467,Chislehurst School for Girls,Bromley,Academy converter,Secondary,Girls,Open,Non-selective,None,545368.0,170915.0,136467 < 101674,1677-09-21,2.0,2018-02-28,136467,136464;136281;138686,Orion Coopers;Kemnal Technology College;Cleeve Park School,1624;1641;2400,2;4;3,3.0,,,True
137121,Harris Academy Beckenham,Bromley,Academy sponsor led,Secondary,Mixed,Open,Non-selective,None,537430.0,168596.0,137121 < 101670,1677-09-21,1.0,2017-07-07,137121,136586;137006;142040,Langley Park School for Boys;Langley Park School for Girls;Orchard Park High School,1279;1389;2014,2;2;2,2.0,,,True
137379,Harris Girls Academy Bromley,Bromley,Academy converter,Secondary,Girls,Open,Non-selective,None,536308.0,170396.0,137379 < 101657,1677-09-21,1.0,2018-01-10,137379,100743;100745;137121,Sedgehill School;Forest Hill School;Harris Academy Beckenham,1455;1817;2121,3;3;1,3.0,,,True
136644,Hayes School,Bromley,Academy converter,Secondary,Mixed,Open,Non-selective,None,540620.0,165814.0,136644 < 101673,1677-09-21,1.0,2013-06-27,136644,136517;136466;136540,Ravens Wood School;Bishop Justus CofE School;The Ravensbourne School,1268;1882;2233,2;2;2,2.0,,,True
150055,Harris Academy Beulah Hill,Croydon,Academy converter,Secondary,Mixed,Open,,None,532610.0,170012.0,150055 < 135249 < 101812 < 139906 < 101805,1677-09-21,1.0,2010-06-03,135249,131280;100624;138221,Virgo Fidelis Convent Senior School;The Norwood School;St Joseph's College,877;1122;1181,2;2;2,2.0,,,True
135955,Harris Academy Purley,Croydon,Academy sponsor led,Secondary,Mixed,Open,Non-selective,Does not apply,531826.0,163259.0,135955 < 101809,1677-09-21,1.0,2012-01-11,135955,101821;101813;103009,Thomas More Catholic School;St Andrew's CofE School;The John Fisher School,1305;1825;1973,2;4;2,2.0,,,True
135249,Harris Academy South Norwood,Croydon,Academy sponsor led,Secondary,Mixed,Open,Non-selective,Does not apply,533991.0,168611.0,135249 < 101812 < 139906 < 101805,1677-09-21,1.0,2010-06-03,135249,135311;140209;135968,Harris City Academy Crystal Palace;Oasis Academy Arena;Oasis Academy Shirley Park,1225;1238;2152,1;3;2,2.0,,,True
